0.000000	-0.131
0.000833	-0.133
0.001667	-0.135
0.002500	-0.136
0.003333	-0.136
0.004167	-0.136
0.005000	-0.135
0.005833	-0.135
0.006667	-0.134
0.007500	-0.133
0.008333	-0.132
0.009167	-0.132
0.010000	-0.131
0.010833	-0.130
0.011667	-0.129
0.012500	-0.128
0.013333	-0.127
0.014167	-0.126
0.015000	-0.125
0.015833	-0.123
0.016667	-0.121
0.017500	-0.119
0.018333	-0.116
0.019167	-0.114
0.020000	-0.111
0.020833	-0.108
0.021667	-0.105
0.022500	-0.102
0.023333	-0.098
0.024167	-0.094
0.025000	-0.090
0.025833	-0.085
0.026667	-0.080
0.027500	-0.075
0.028333	-0.069
0.029167	-0.064
0.030000	-0.058
0.030833	-0.053
0.031667	-0.047
0.032500	-0.041
0.033333	-0.035
0.034167	-0.029
0.035000	-0.023
0.035833	-0.017
0.036667	-0.010
0.037500	-0.003
0.038333	0.004
0.039167	0.011
0.040000	0.017
0.040833	0.025
0.041667	0.032
0.042500	0.039
0.043333	0.046
0.044167	0.053
0.045000	0.060
0.045833	0.067
0.046667	0.074
0.047500	0.080
0.048333	0.086
0.049167	0.092
0.050000	0.098
0.050833	0.104
0.051667	0.110
0.052500	0.116
0.053333	0.122
0.054167	0.128
0.055000	0.134
0.055833	0.141
0.056667	0.147
0.057500	0.153
0.058333	0.159
0.059167	0.166
0.060000	0.172
0.060833	0.178
0.061667	0.184
0.062500	0.190
0.063333	0.196
0.064167	0.202
0.065000	0.208
0.065833	0.213
0.066667	0.219
0.067500	0.225
0.068333	0.231
0.069167	0.237
0.070000	0.243
0.070833	0.249
0.071667	0.254
0.072500	0.260
0.073333	0.265
0.074167	0.270
0.075000	0.275
0.075833	0.280
0.076667	0.285
0.077500	0.291
0.078333	0.296
0.079167	0.301
0.080000	0.307
0.080833	0.312
0.081667	0.316
0.082500	0.319
0.083333	0.322
0.084167	0.325
0.085000	0.328
0.085833	0.331
0.086667	0.333
0.087500	0.336
0.088333	0.338
0.089167	0.341
0.090000	0.343
0.090833	0.346
0.091667	0.348
0.092500	0.351
