0.000000	14.459
0.000833	14.459
0.001667	14.460
0.002500	14.461
0.003333	14.462
0.004167	14.461
0.005000	14.461
0.005833	14.459
0.006667	14.458
0.007500	14.457
0.008333	14.457
0.009167	14.457
0.010000	14.455
0.010833	14.455
0.011667	14.456
0.012500	14.456
0.013333	14.455
0.014167	14.455
0.015000	14.454
0.015833	14.453
0.016667	14.454
0.017500	14.453
0.018333	14.452
0.019167	14.453
0.020000	14.456
0.020833	14.456
0.021667	14.455
0.022500	14.455
0.023333	14.456
0.024167	14.457
0.025000	14.457
0.025833	14.457
0.026667	14.456
0.027500	14.455
0.028333	14.457
0.029167	14.459
0.030000	14.459
0.030833	14.459
0.031667	14.459
0.032500	14.460
0.033333	14.462
0.034167	14.460
0.035000	14.457
0.035833	14.454
0.036667	14.453
0.037500	14.451
0.038333	14.449
0.039167	14.447
0.040000	14.443
0.040833	14.443
0.041667	14.442
0.042500	14.440
0.043333	14.439
0.044167	14.438
0.045000	14.438
0.045833	14.437
0.046667	14.438
0.047500	14.440
0.048333	14.440
0.049167	14.442
0.050000	14.442
0.050833	14.442
0.051667	14.441
0.052500	14.441
0.053333	14.440
0.054167	14.440
0.055000	14.439
0.055833	14.441
0.056667	14.442
0.057500	14.444
0.058333	14.444
0.059167	14.445
0.060000	14.445
0.060833	14.444
0.061667	14.443
0.062500	14.443
0.063333	14.440
0.064167	14.439
0.065000	14.439
0.065833	14.438
0.066667	14.437
0.067500	14.438
0.068333	14.438
0.069167	14.437
0.070000	14.436
0.070833	14.434
0.071667	14.431
0.072500	14.429
0.073333	14.428
0.074167	14.425
0.075000	14.423
0.075833	14.424
0.076667	14.424
0.077500	14.425
0.078333	14.427
0.079167	14.428
0.080000	14.430
0.080833	14.432
0.081667	14.436
0.082500	14.439
0.083333	14.441
0.084167	14.442
0.085000	14.444
0.085833	14.446
0.086667	14.448
0.087500	14.450
0.088333	14.452
0.089167	14.452
0.090000	14.453
0.090833	14.453
0.091667	14.453
0.092500	14.453
0.093333	14.454
0.094167	14.455
0.095000	14.455
0.095833	14.454
0.096667	14.456
0.097500	14.459
0.098333	14.460
0.099167	14.462
0.100000	14.462
0.100833	14.462
0.101667	14.463
0.102500	14.464
0.103333	14.464
0.104167	14.463
0.105000	14.462
0.105833	14.460
0.106667	14.459
0.107500	14.456
0.108333	14.454
0.109167	14.454
0.110000	14.451
0.110833	14.449
0.111667	14.448
0.112500	14.448
0.113333	14.447
0.114167	14.448
0.115000	14.449
0.115833	14.450
0.116667	14.448
0.117500	14.448
0.118333	14.449
0.119167	14.449
0.120000	14.449
0.120833	14.446
0.121667	14.443
0.122500	14.441
0.123333	14.441
0.124167	14.440
0.125000	14.438
0.125833	14.438
0.126667	14.439
0.127500	14.438
0.128333	14.438
0.129167	14.438
0.130000	14.438
0.130833	14.438
0.131667	14.438
0.132500	14.438
0.133333	14.437
0.134167	14.435
0.135000	14.435
0.135833	14.435
0.136667	14.434
0.137500	14.432
0.138333	14.429
0.139167	14.428
0.140000	14.427
0.140833	14.427
0.141667	14.424
0.142500	14.422
0.143333	14.420
0.144167	14.419
0.145000	14.419
0.145833	14.418
0.146667	14.418
0.147500	14.417
0.148333	14.417
0.149167	14.417
0.150000	14.417
0.150833	14.417
0.151667	14.417
0.152500	14.417
0.153333	14.417
0.154167	14.418
0.155000	14.417
0.155833	14.417
0.156667	14.419
0.157500	14.422
0.158333	14.424
0.159167	14.425
0.160000	14.426
0.160833	14.425
0.161667	14.426
0.162500	14.427
0.163333	14.427
0.164167	14.426
0.165000	14.425
0.165833	14.424
0.166667	14.424
0.167500	14.425
0.168333	14.427
0.169167	14.426
0.170000	14.425
0.170833	14.424
0.171667	14.423
0.172500	14.422
0.173333	14.420
0.174167	14.418
0.175000	14.416
0.175833	14.416
0.176667	14.416
0.177500	14.417
0.178333	14.418
0.179167	14.420
0.180000	14.420
0.180833	14.421
0.181667	14.422
0.182500	14.421
0.183333	14.420
0.184167	14.420
0.185000	14.419
0.185833	14.416
0.186667	14.415
0.187500	14.415
0.188333	14.415
0.189167	14.415
0.190000	14.417
0.190833	14.417
0.191667	14.418
0.192500	14.419
0.193333	14.418
0.194167	14.417
0.195000	14.416
0.195833	14.415
0.196667	14.415
0.197500	14.415
0.198333	14.415
0.199167	14.416
0.200000	14.417
0.200833	14.417
0.201667	14.418
0.202500	14.418
0.203333	14.416
0.204167	14.415
0.205000	14.413
0.205833	14.411
0.206667	14.409
0.207500	14.409
0.208333	14.408
0.209167	14.408
0.210000	14.410
0.210833	14.412
0.211667	14.413
0.212500	14.416
0.213333	14.418
0.214167	14.419
0.215000	14.421
0.215833	14.423
0.216667	14.421
0.217500	14.421
0.218333	14.420
0.219167	14.420
0.220000	14.417
0.220833	14.417
0.221667	14.414
0.222500	14.413
0.223333	14.411
0.224167	14.411
0.225000	14.413
0.225833	14.414
0.226667	14.415
0.227500	14.418
0.228333	14.419
0.229167	14.419
0.230000	14.420
0.230833	14.421
0.231667	14.421
0.232500	14.421
0.233333	14.420
0.234167	14.419
0.235000	14.419
0.235833	14.419
0.236667	14.418
0.237500	14.416
0.238333	14.416
0.239167	14.411
0.240000	14.407
0.240833	14.405
0.241667	14.402
0.242500	14.399
0.243333	14.398
0.244167	14.397
0.245000	14.395
0.245833	14.396
0.246667	14.396
0.247500	14.397
0.248333	14.398
0.249167	14.399
0.250000	14.400
0.250833	14.400
0.251667	14.401
0.252500	14.401
0.253333	14.402
0.254167	14.401
0.255000	14.400
0.255833	14.400
0.256667	14.400
0.257500	14.399
0.258333	14.398
